"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"9294","204023_at",-1.50945640113515,3.17791334815638,-6.38970562370271,3.47502173776924e-06,0.127737361899378,3.83452977998488,"RFC4","5984"
"14060","209369_at",-1.53516987210046,2.78962801968236,-5.61825435256594,1.84008192049232e-05,0.127737361899378,2.54928891510256,"ANXA3","306"
"28672","226785_at",-1.47627409715655,3.30459519043116,-5.65565083126591,1.69445889772216e-05,0.127737361899378,2.61390869466854,"ATP11C","286410"
"30359","228697_at",-1.5268471119557,3.18345539621388,-5.59809076317318,1.92385202920897e-05,0.127737361899378,2.51435321126473,"HINT3","135114"
"31976","230724_s_at",-1.51788115788375,3.04719830735986,-5.6980177558626,1.54365197492457e-05,0.127737361899378,2.68684236427649,"C11orf57","55216"
"32944","232080_at",-1.89622148012145,3.99232106430906,-5.66477579973616,1.66075125273911e-05,0.127737361899378,2.62964186495955,"HECW2","57520"
"25840","223606_x_at",-2.34653749530985,4.36347906163699,-5.49757737959203,2.40350095301898e-05,0.1367866728091,2.33923425771133,"GPALPP1","55425"
"21504","218703_at",-1.32930920484987,2.3824873210042,-5.27747217928207,3.92800597207169e-05,0.179922804799551,1.95028648926141,"SEC22A","26984"
"29646","227871_at",-1.53521237159898,2.93887849315959,-5.26222300993539,4.06472524523309e-05,0.179922804799551,1.92307042786621,"CHM","1121"
"6444","201018_at",-2.27382607793171,5.24241090190163,-5.03677881773614,6.75807957597113e-05,0.201004056403235,1.51685119783671,"EIF1AX","1964"
"8434","203124_s_at",-2.01257102355017,3.67053222586754,-5.03310607911828,6.81454353061779e-05,0.201004056403235,1.51017561271703,"SLC11A2","4891"
"16585","212371_at",-1.36953232640155,2.96236461248807,-5.14910687421258,5.2427361978397e-05,0.201004056403235,1.72013848176452,"DESI2","51029"
"18073","214005_at",-1.88500355501027,3.74291686451961,-4.93609971372873,8.49290776870761e-05,0.201004056403235,1.33321864851875,"GGCX","2677"
"23799","221288_at",-1.47499786411584,2.86921409096457,-4.9525588924999,8.1810441993341e-05,0.201004056403235,1.36332845891981,"GPR22","2845"
"24236","221787_at",-1.85834365756946,2.96309670408004,-5.08760198917617,6.02383075410946e-05,0.201004056403235,1.60904217826649,"C6orf120","387263"
"28905","227040_at",-1.63756921084681,3.05820174929591,-4.97619883870963,7.75334919868752e-05,0.201004056403235,1.40651410268317,"NHLRC3","387921"
"24782","222478_at",-2.0988456775455,4.23469333205503,-4.88251965179143,9.5942870543789e-05,0.205935223579371,1.23496631004917,"VPS36","51028"
"34959","235570_at",-1.55435611176923,4.0753659704719,-4.87223703405664,9.82170100910702e-05,0.205935223579371,1.21607009794084,"RBMS3","27303"
"1774","1555193_a_at",-1.34261718807241,2.17798570514941,-4.75479403091572,0.000128419028683195,0.206593323447378,0.999356311839963,"ZNF277","11179"
"8798","203502_at",-1.25341626003606,3.52643802714661,-4.75532863134679,0.000128262107783678,0.206593323447378,1.0003463993783,"BPGM","669"
"9833","204593_s_at",-1.12319307544905,3.04175665418678,-4.7886870775434,0.000118845020085992,0.206593323447378,1.06206272705528,"MIEF1","54471"
"23364","220714_at",0.931859719598817,2.85386316620293,4.73349500976669,0.000134831728742202,0.206593323447378,0.959884258691625,"PRDM14","63978"
"30482","228841_at",-1.93200158766599,3.54759351073618,-4.74321929139969,0.000131864656030539,0.206593323447378,0.977911886046958,"LYRM7","90624"
"31587","230201_at",-1.30912646327156,3.18645374512572,-4.78933103702087,0.000118670292765397,0.206593323447378,1.06325286448012,"FXR1","8087"
"39289","244654_at",1.12520184808548,3.53311537905481,4.79708153170444,0.000116587640779892,0.206593323447378,1.07757323697645,"MYO1G","64005"
"34782","235344_at",-1.74635867318172,3.86118909101215,-4.70080964561332,0.00014530938736951,0.207312342591223,0.899213478819815,"PPM1A","5494"
"38110","241962_at",-1.24247573376475,2.32350224711073,-4.69961148841987,0.000145708760293043,0.207312342591223,0.896987247647199,"NT5DC1","221294"
