"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"4301","205857_at",-2.34334352815337,8.98528633358435,-8.31463237749546,6.61523003472655e-14,9.56826872222848e-10,21.0445893575091,"SLC18A2","6571"
"2584","203476_at",-1.30832135682628,9.28870436228734,-8.08233579729815,2.45889887533444e-13,1.49803565408272e-09,19.7925856620997,"TPBG","7162"
"9433","213832_at",-0.92494750477859,10.0133175781971,-8.04070272290963,3.10709828695254e-13,1.49803565408272e-09,19.5694770479486,"KCND3","3752"
"4855","206836_at",-1.75787257161567,9.60738790586846,-7.63039243418238,3.04491108807539e-12,1.10103984944806e-08,17.3934648024013,"SLC6A3","6531"
"6739","209797_at",-0.6366444292358,9.12950475170551,-7.56045707521354,4.47252898477282e-12,1.29381318471508e-08,17.0269890625052,"CNPY2","10330"
"3933","205311_at",-1.88965130869737,9.26094012598109,-7.46529474526729,7.52975297364049e-12,1.39957068694718e-08,16.5305333413598,"DDC","1644"
"12218","219126_at",0.368316016050017,8.73383148702422,7.46022673882947,7.74098831276097e-12,1.39957068694718e-08,16.5041669377473,"PHF10","55274"
"12747","219911_s_at",1.1799650035733,9.4543516116207,7.49469142199684,6.41238203495119e-12,1.39957068694718e-08,16.6836169766668,"SLCO4A1","28231"
"2424","203282_at",-1.34665081882185,9.73106645519018,-7.43577376906648,8.84555404139561e-12,1.42157881838607e-08,16.3770552302948,"GBE1","2632"
"6816","209911_x_at",0.73048082250722,8.8346851194657,7.40340090289422,1.05510588763903e-11,1.52610515588109e-08,16.2090446431899,"HIST1H2BD","3017"
"3348","204467_s_at",-0.718106792574272,10.510257243609,-7.22278396639497,2.80503502750002e-11,3.68836605797821e-08,15.2774802818969,"SNCA","6622"
"7148","210454_s_at",-1.55221459692753,9.36374121837978,-7.15842718843363,3.96425521592837e-11,4.77824895359899e-08,14.9480063927101,"KCNJ6","3763"
"973","201609_x_at",-0.506744946135834,8.989925986693,-7.10231637337836,5.35374480822072e-11,5.5311832075789e-08,14.6618370995048,"ICMT","23463"
"3796","205110_s_at",-1.86944853388524,9.4071317776664,-7.11470841633026,5.01044759450944e-11,5.5311832075789e-08,14.7249490767743,"FGF13","2258"
"6566","209560_s_at",-1.55454608273364,7.79371089548606,-7.04056588446038,7.44293270757608e-11,7.12918002566187e-08,14.3481016078734,"DLK1","8788"
"9033","213271_s_at",-0.580003238916084,8.22404312589113,-7.0296971049667,7.88626109033393e-11,7.12918002566187e-08,14.293012214263,"DOPEY1","23033"
"7644","211421_s_at",-1.61876031252498,8.33256007529897,-6.94004108111158,1.26903237144975e-10,1.07972260121466e-07,13.8401112276032,"RET","5979"
"3990","205391_x_at",-0.698531538694321,8.65949026883443,-6.91077274305738,1.48134376012555e-10,1.19034200813644e-07,13.6928595893028,"ANK1","286"
"10125","215071_s_at",0.835006757783583,9.86882017242277,6.85935501216705,1.94251053679461e-10,1.40482362020986e-07,13.4348985909717,"HIST1H2AC","8334"
"10512","216086_at",-1.85986696107617,9.81116328016665,-6.86629194625647,1.87286676019364e-10,1.40482362020986e-07,13.4696465242909,"SV2C","22987"
"808","201415_at",-0.585461762507245,9.34918277694289,-6.8387967003924,2.16427193228292e-10,1.41831909605042e-07,13.332019996733,"GSS","2937"
"4262","205795_at",-0.947841891407344,9.04347865957786,-6.83263552194582,2.23547134632397e-10,1.41831909605042e-07,13.3012173770401,"NRXN3","9369"
"13142","220688_s_at",-0.362748595164325,8.08565300153334,-6.76533004706813,3.18085355045608e-10,1.9169944064082e-07,12.9656160512771,"MRTO4","51154"
"3542","204723_at",-0.981135238242747,8.90922653514672,-6.75316966959553,3.38954789075407e-10,1.96105682767467e-07,12.9051569901278,"SCN3B","55800"
"3547","204730_at",-0.892364079560803,10.06638568036,-6.71115501158038,4.21999456754266e-10,2.34761543942066e-07,12.6966866987902,"RIMS3","9783"
"1197","201854_s_at",-0.338508581161857,9.34537828747823,-6.67188798548011,5.17606707874167e-10,2.77283830470072e-07,12.5024421291804,"ATMIN","23300"
"12538","219572_at",-1.28869100025237,9.58172005802981,-6.63170619838953,6.37518346418132e-10,3.2932376294971e-07,12.3042721976005,"CADPS2","93664"
"2557","203445_s_at",0.357433580061718,11.0694429922914,6.60915166218528,7.16424625708961e-10,3.57322958146704e-07,12.1933054772891,"CTDSP2","10106"
"3449","204604_at",-0.716446379769939,10.1038346176284,-6.55109483842695,9.6655697739497e-10,4.40184870120638e-07,11.9085687539653,"CDK14","5218"
